SUCCESS: 'Tai nghe có dây SOUNDCORE SoundBuds Verve - A3801', 'https://shopee.vn/api/v2/item/get?itemid=1714546334&shopid=16461019', 23500000000, 23500000000, 35000000000, 35000000000, 178, 'VND'
SUCCESS: 'Cáp sạc ANKER PowerLine Micro USB dài 0.9m - A8132', 'https://shopee.vn/api/v2/item/get?itemid=214475105&shopid=16461019', 10000000000, 10000000000, NULL, NULL, 686, 'VND'
SUCCESS: 'Pin sạc dự phòng ANKER PowerCore Select 10000mAh - A1223', 'https://shopee.vn/api/v2/item/get?itemid=2524401110&shopid=16461019', 60000000000, 60000000000, NULL, NULL, 21859, 'VND'
SUCCESS: 'Sạc ANKER PowerPort Mini 2 cổng 12W - A2620', 'https://shopee.vn/api/v2/item/get?itemid=1985117325&shopid=16461019', 22500000000, 60500000000, NULL, NULL, 4514, 'VND'
SUCCESS: 'Cáp sạc ANKER Powerline II Lightning - Dài 1.8m - A8433', 'https://shopee.vn/api/v2/item/get?itemid=578114597&shopid=16461019', 38000000000, 38000000000, NULL, NULL, 407, 'VND'
SUCCESS: 'Pin Kiềm AA ANKER Alkaline (Bộ 2 Pin/4 Pin) - B1810', 'https://shopee.vn/api/v2/item/get?itemid=5522087175&shopid=16461019', 2500000000, 4000000000, NULL, NULL, 1116, 'VND'
SUCCESS: 'Sạc ANKER PowerPort+ 1 cổng 18w Quick Charge 3.0 - A2013', 'https://shopee.vn/api/v2/item/get?itemid=1855022079&shopid=16461019', 42000000000, 42000000000, NULL, NULL, 361, 'VND'
SUCCESS: 'Pin Kiềm AAA ANKER Alkaline (Bộ 2 Pin/4 Pin) - B1820', 'https://shopee.vn/api/v2/item/get?itemid=7127581868&shopid=16461019', 2000000000, 3600000000, NULL, NULL, 1432, 'VND'
SUCCESS: 'Cáp sạc ANKER Powerline II Lightning - dài 0.9m - A8432', 'https://shopee.vn/api/v2/item/get?itemid=578094625&shopid=16461019', 33000000000, 33000000000, 33000000000, 33000000000, 73, 'VND'
SUCCESS: 'Sạc ANKER PowerPort II 2 cổng PIQ 24w - A2027', 'https://shopee.vn/api/v2/item/get?itemid=1930675230&shopid=16461019', 27900000000, 27900000000, 45000000000, 45000000000, 277, 'VND'
SUCCESS: 'Cáp 3 in 1 ANKER Powerline II 0.9M - A8436 (Lightning - Type C - Micro USB)', 'https://shopee.vn/api/v2/item/get?itemid=1716891362&shopid=16461019', 45000000000, 45000000000, NULL, NULL, 239, 'VND'
SUCCESS: 'Cáp sạc ANKER PowerLine II Lightning to USB-C dài 1.8m - A8633', 'https://shopee.vn/api/v2/item/get?itemid=7517933568&shopid=16461019', 45000000000, 45000000000, NULL, NULL, 569, 'VND'
SUCCESS: '[Quà tặng] Ốp Lưng ANKER KARAPAX Shield+ cho iPhone 7 Plus / 8 Plus - A9021', 'https://shopee.vn/api/v2/item/get?itemid=4856501250&shopid=16461019', 30000000000, 30000000000, NULL, NULL, 105, 'VND'
SUCCESS: 'Cáp sạc ANKER PowerLine+ Micro USB dài 0.9m - A8142', 'https://shopee.vn/api/v2/item/get?itemid=214475152&shopid=16461019', 11400000000, 11400000000, 20000000000, 20000000000, 122, 'VND'
SUCCESS: 'Cáp ANKER PowerLine III USB-C to USB-C dài 0.9m - A8852', 'https://shopee.vn/api/v2/item/get?itemid=3649443338&shopid=16461019', 25000000000, 25000000000, NULL, NULL, 1007, 'VND'
SUCCESS: 'Sạc ANKER PowerPort Elite 2 cổng PIQ 24W - A2023', 'https://shopee.vn/api/v2/item/get?itemid=1930651326&shopid=16461019', 45000000000, 45000000000, NULL, NULL, 209, 'VND'
SUCCESS: 'Gậy chụp ảnh tự sướng có dây ANKER Selfie Stick Wired - A7160', 'https://shopee.vn/api/v2/item/get?itemid=214476263&shopid=16461019', 21700000000, 21700000000, 35000000000, 35000000000, 81, 'VND'
SUCCESS: '[Có bao da] Cáp sạc ANKER PowerLine+ Micro USB dài 1.8m - A8143', 'https://shopee.vn/api/v2/item/get?itemid=214475197&shopid=16461019', 14800000000, 14800000000, 26000000000, 26000000000, 76, 'VND'
SUCCESS: 'Cáp âm thanh bọc nylon ANKER 3.5mm dài 1.2m - A7113', 'https://shopee.vn/api/v2/item/get?itemid=398585150&shopid=16461019', 7300000000, 7300000000, 14000000000, 14000000000, 145, 'VND'
SUCCESS: 'Cáp sạc ANKER PowerLine II Lightning to USB-C dài 0.9m - A8632', 'https://shopee.vn/api/v2/item/get?itemid=5809115651&shopid=16461019', 40000000000, 40000000000, NULL, NULL, 10, 'VND'
SUCCESS: 'Tai nghe bluetooth TWS SOUNDCORE Life P2 (by Anker) - A3919', 'https://shopee.vn/api/v2/item/get?itemid=3632602082&shopid=16461019', 150000000000, 150000000000, NULL, NULL, 614, 'VND'
SUCCESS: 'Pin sạc dự phòng ANKER PowerCore 10400mAh - A1214', 'https://shopee.vn/api/v2/item/get?itemid=214476390&shopid=16461019', 79000000000, 79000000000, NULL, NULL, 418, 'VND'
SUCCESS: 'Sạc ANKER PowerPort Atom PD 1 cổng 30W [GaN Technology] - A2017', 'https://shopee.vn/api/v2/item/get?itemid=2614401362&shopid=16461019', 80000000000, 80000000000, NULL, NULL, 306, 'VND'
SUCCESS: '[Có túi đựng] Cáp sạc ANKER PowerLine+ II Lightning to USB-C dài 0.9m - A8652', 'https://shopee.vn/api/v2/item/get?itemid=5707355883&shopid=16461019', 50000000000, 50000000000, NULL, NULL, 34, 'VND'
SUCCESS: 'Cáp sạc Type C ANKER PowerLine Select+ USB-C ra USB 2.0 dài 0.9m - A8022', 'https://shopee.vn/api/v2/item/get?itemid=4118096976&shopid=16461019', 20000000000, 20000000000, NULL, NULL, 306, 'VND'
SUCCESS: '[Không bao da] Cáp sạc ANKER PowerLine+ Lightning dài 1.8m cho iPhone iPad - A8122H', 'https://shopee.vn/api/v2/item/get?itemid=2267166001&shopid=16461019', 42000000000, 42000000000, NULL, NULL, 10, 'VND'
SUCCESS: 'Pin sạc dự phòng ANKER Metro PowerCore Essential 20000 PD - A1281', 'https://shopee.vn/api/v2/item/get?itemid=4544422277&shopid=16461019', 140000000000, 140000000000, NULL, NULL, 284, 'VND'
SUCCESS: 'Cáp sạc ANKER PowerLine Micro USB dài 3.0m - A8134', 'https://shopee.vn/api/v2/item/get?itemid=214475176&shopid=16461019', 10400000000, 10400000000, 20000000000, 20000000000, 269, 'VND'
SUCCESS: 'Sạc ANKER PowerPort 2 Lite - 12w - A2129', 'https://shopee.vn/api/v2/item/get?itemid=571845731&shopid=16461019', 27500000000, 27500000000, NULL, NULL, 43, 'VND'
SUCCESS: '[Không túi đựng] Cáp sạc ANKER PowerLine+ II Lightning dài 0.9m - A8452H', 'https://shopee.vn/api/v2/item/get?itemid=1719584009&shopid=16461019', 43000000000, 43000000000, NULL, NULL, 109, 'VND'
SUCCESS: 'Cáp sạc ANKER Select Lightning to USB-C dài 0.9m - A8612', 'https://shopee.vn/api/v2/item/get?itemid=2211189777&shopid=16461019', 45000000000, 45000000000, NULL, NULL, 166, 'VND'
SUCCESS: '[Nhựa vân] Pin sạc dự phòng ANKER PowerCore Slim 10000mAh PD - A1231', 'https://shopee.vn/api/v2/item/get?itemid=6016587704&shopid=16461019', 69900000000, 69900000000, 100000000000, 100000000000, 25, 'VND'
SUCCESS: 'Cáp sạc Type C ANKER PowerLine Select+ USB-C ra USB 2.0 dài 1.8m - A8023', 'https://shopee.vn/api/v2/item/get?itemid=4918097145&shopid=16461019', 25000000000, 25000000000, NULL, NULL, 424, 'VND'
